NETGEAR,WIFI 1,Basabeso,Ehab,basant,room
-69,-69,-66,-66,-69,1
0,-68,-66,-62,-68,1
0,-64,-68,-66,-64,1
0,-63,-69,-64,-63,1
0,-68,0,-63,-68,1
-70,-66,0,-64,-66,1
-79,-68,0,-64,-68,1
0,-69,-62,-62,-69,1
-68,-72,-57,-66,-72,1
-75,-65,-61,-73,-65,1
-73,-63,-62,-63,-63,1
-72,-63,-67,-62,-63,1
-69,-67,-68,-63,-67,1
0,-64,-62,-66,-64,1
0,-63,-63,-58,-63,1
-65,-68,-67,-62,-68,1
-68,-63,-71,-65,-63,1
-68,-54,-60,-65,-54,1
-69,-61,-73,-64,-61,1
-63,-58,-72,-65,-58,1
-64,-61,-67,-63,-61,1
-66,-74,-67,-72,-74,1
-68,-70,-62,-62,-70,1
-66,-52,-64,-60,-52,1
-66,-66,-61,-65,-66,1
-66,-80,-63,-63,-80,1
-73,-63,-68,-63,-63,1
-70,-53,-64,-66,-53,1
-67,-64,-68,-64,-64,1
-68,-66,-72,-57,-66,1
-68,-57,-68,-59,-57,1
-66,-57,-70,-58,-57,1
-71,-67,-67,-65,-67,1
-74,-64,-57,-62,-64,1
-63,-75,-62,-60,-75,1
-73,-63,-67,-63,-63,1
-75,-60,-63,-67,-60,1
-71,-61,-66,-64,-61,1
-68,-60,-71,-73,-60,1
-65,-65,-71,-74,-65,1
-66,-64,-64,-72,-64,1
-69,-63,0,-65,-63,1
-67,-57,-62,-67,-57,1
0,-54,-68,-68,-54,1
-66,-55,-65,-67,-55,1
-65,-54,-66,-68,-54,1
-65,-54,-73,-72,-54,1
-67,-55,-72,-67,-55,1
-73,-68,-67,-67,-68,1
-77,-54,-66,-66,-54,1
-72,-53,-74,-67,-53,1
-70,-54,-73,-68,-54,1
0,-55,-72,-74,-55,1
-69,-55,-67,-67,-55,1
-65,-55,-62,-63,-55,1
-66,-55,-67,-62,-55,1
-67,-52,-73,-62,-52,1
-75,-51,-67,-65,-51,1
0,-57,-64,-63,-57,1
-66,-53,-67,-65,-53,1
-67,-54,-66,-68,-54,1
-64,-59,-65,-67,-59,1
-69,-54,-65,-67,-54,1
0,-54,-67,-69,-54,1
0,-60,0,-63,-60,1
-71,-57,0,-66,-57,1
-71,-65,-65,-63,-65,1
-72,-60,-70,-65,-60,1
-72,-57,-74,-60,-57,1
-70,-61,-69,-62,-61,1
-80,-66,-69,-61,-66,1
-71,-57,-85,-74,-57,1
-68,-53,-72,-75,-53,1
-68,-54,-74,-74,-54,1
-68,-53,-70,-66,-53,1
-69,-51,-69,-67,-51,1
-72,-52,-74,-63,-52,1
-72,-54,-66,-63,-54,1
-64,-52,-66,-62,-52,1
-70,-52,-69,-71,-52,1
-72,-68,-73,-64,-68,1
-68,-50,-78,-61,-50,1
-67,-54,-68,-69,-54,1
-62,-53,-69,-67,-53,1
-69,-52,-67,-65,-52,1
-65,-52,-71,-66,-52,1
0,-54,-70,-64,-54,1
0,-55,-68,-69,-55,1
-65,-55,0,-59,-55,1
-69,-54,-69,-65,-54,1
-68,-54,-64,-68,-54,1
-72,-46,0,-67,-46,1
-75,-51,-73,-73,-51,1
-68,-49,-73,-66,-49,1
-69,-45,-74,-61,-45,1
-69,-45,-70,-61,-45,1
-66,-52,0,-68,-52,1
-71,-50,-72,-62,-50,1
-68,-47,-63,-74,-47,1
-71,-56,0,-64,-56,1
-68,-59,-74,-65,-59,1
-72,-55,-71,-66,-55,1
-69,-40,-66,-70,-40,1
-73,-53,-67,-67,-53,1
-69,-63,-64,-68,-63,1
-72,-53,-65,-66,-53,1
-64,-59,-66,-66,-59,1
0,-42,-66,-65,-42,1
-75,-51,-68,-66,-51,1
-67,-51,-71,-69,-51,1
-74,-51,-67,-68,-51,1
-70,-53,-75,-66,-53,1
-75,-47,-72,-64,-47,1
-73,-57,-69,-64,-57,1
-68,-54,-66,-71,-54,1
-67,-56,-78,-61,-56,1
-67,-54,-64,-66,-54,1
-67,-54,-61,-74,-54,1
-72,-54,-62,-67,-54,1
-72,-55,-71,-76,-55,1
-73,-56,0,-70,-56,1
-68,-56,-68,-62,-56,1
-72,-61,-59,-65,-61,1
-68,-58,-70,-66,-58,1
-69,-55,-66,-73,-55,1
-75,-55,-62,-66,-55,1
-66,-67,-68,-74,-67,1
-70,-54,-71,-66,-54,1
-66,-54,-62,-71,-54,1
-70,-65,-63,-74,-65,1
0,-62,-61,-72,-62,1
-75,-60,-66,-65,-60,1
-72,-65,-65,-72,-65,1
-63,-53,-65,-70,-53,1
-77,-58,0,-70,-58,1
-79,-51,-68,-62,-51,1
-71,-54,-63,-69,-54,1
-71,-55,-66,-66,-55,1
-78,-62,-66,-68,-62,1
-65,-63,-82,-66,-63,1
-74,-51,-64,-72,-51,1
-71,-55,-71,-69,-55,1
-72,-52,-65,-65,-52,1
-66,-54,-72,-63,-54,1
-65,-54,-67,-59,-54,1
-68,-54,-65,-62,-54,1
-72,-54,-69,-67,-54,1
-72,-56,-64,-65,-56,1
0,-56,-65,-65,-56,1
-69,-56,0,-67,-56,1
-69,-54,-62,-67,-54,1
-76,-58,-66,-63,-58,1
-72,-58,-67,-67,-58,1
-65,-55,-71,-61,-55,1
